tipos	tipas
visualizadores	visualizadoras
devoradores	devoradoras
templarios	templarias
rastreadores	rastreadoras
montadores	montadoras
andadores	andadoras
milicianos	milicianas
pobladores	pobladoras
clasificadores	clasificadoras
estimuladores	estimuladoras
salesianos	salesianas
libertinos	libertinas
gregarios	gregarias
pololos	pololas
indoeuropeos	indoeuropeas
euroasiáticos	euroasiáticas
eurasiáticos	eurasiáticas
telemáticos	telemáticas
plebeyos	plebeyas
cultivadores	cultivadoras
urólogos	urólogas
lechones	lechonas
petardos	petardas
adeptos	adeptas
neurocirujanos	neurocirujanas
introductores	introductoras
fariseos	fariseas
evangelizadores	evangelizadoras
reboteadores	reboteadoras
trinitarios	trinitarias
superdotados	superdotadas
gruñones	gruñonas
ortopédicos	ortopédicas
cocheros	cocheras
tranquilizadores	tranquilizadoras
cretinos	cretinas
necios	necias
tercos	tercas
obstinados	obstinadas
testarudos	testarudas
oncólogos	oncólogas
encomenderos	encomenderas
coruñeses	coruñesas
neonatos	neonatas
molineros	molineras
mañaneros	mañaneras
cantoneses	cantonesas
mochileros	mochileras
exdiputados	exdiputadas
supervillanos	supervillanas
superhéroes	superheroínas
limoneros	limoneras
pichones	pichonas
enólogos	enólogas
lacayos	lacayas
mamones	mamonas
teloneros	teloneras
informadores	informadoras
arrieros	arrieras
mesoamericanos	mesoamericanas
boticarios	boticarias
cantábricos	cantábricas
picadores	picadoras
muchachitos	muchachitas
hombrecitos	mujercitas
maños	mañas
demagogos	demagogas
indianos	indianas
archiveros	archiveras
cuates	cuatas
instigadores	instigadoras
afinadores	afinadoras
barqueros	barqueras
apáticos	apáticas
depravados	depravadas
catetos	catetas
cancerberos	cancerberas
arios	arias
exterminadores	exterminadoras
texanos	texanas
patólogos	patólogas
tejedores	tejedoras
rectificadores	rectificadoras
agrimensores	agrimensoras
costeños	costeñas
retardados	retardadas
delatores	delatoras
acusadores	acusadoras
indocumentados	indocumentadas
documentados	documentadas
conspiradores	conspiradoras
excandidatos	excandidatas
celadores	celadoras
neófitos	neófitas
sorianos	sorianas
traumatólogos	traumatólogas
recuperadores	recuperadoras
tricampeones	tricampeonas
vividores	vividoras
peticionarios	peticionarias
valedores	valedoras
armeros	armeras
jurisconsultos	jurisconsultas
estimadores	estimadoras
mixtecos	mixtecas
milaneses	milanesas
pardillos	pardillas
ribereños	ribereñas
pirotécnicos	pirotécnicas
cosacos	cosacas
morosos	morosas
supresores	supresoras
especuladores	especuladoras
reclutadores	reclutadoras
jefazos	jefazas
posaderos	posaderas
blasfemos	blasfemas
tertulianos	tertulianas
maníacos	maníacas
fiscalizadores	fiscalizadoras
tatarabuelos	tatarabuelas
copropietarios	copropietarias
mellizos	mellizas
perpetradores	perpetradoras
freudianos	freudianas
donadores	donadoras
taquilleros	taquilleras
paramédicos	paramédicas
mormones	mormonas
bodegueros	bodegueras
maquilladores	maquilladoras
captores	captoras
novicios	novicias
rejoneadores	rejoneadoras
atracadores	atracadoras
dobladores	dobladoras
tipejos	tipejas
homofóbicos	homofóbicas
etnólogos	etnólogas
frigios	frigias
archivadores	archivadoras
substitutos	substitutas
malcriados	malcriadas
tecnólogos	tecnólogas
primerizos	primerizas
montenegrinos	montenegrinas
tatuadores	tatuadoras
mamarrachos	mamarrachas
octogenarios	octogenarias
puritanos	puritanas
egiptólogos	egiptólogas
aritméticos	aritméticas
carroceros	carroceras
lunáticos	lunáticas
tasadores	tasadoras
